model,type,ariel_gll_score,gaussian_nll,rmse_mean,mae_mean,coverage_1sigma,coverage_2sigma,sigma_mean
extra_trees,ml+PHC,0.28670132793760644,-6.203664967317805,0.00250231289449108,0.001259233735643949,0.767362672663026,0.9803726309026662,0.0017714915351424618
random_forest,ml+PHC,0.2725526533989342,-6.0983528424471425,0.0025848062732885366,0.00141081759333642,0.8156440732412464,0.9744298104722133,0.0019899811698206615
cnn1d,deep+PHC,0.22081083688330436,-5.713225555291357,0.0034944910049915946,0.0018065174138453125,0.73989720526823,0.9318021201413428,0.0021246432798897193
transformer,deep+PHC,0.2203965742455766,-5.710142094822013,0.0022639994988764415,0.0016112674002247561,0.681882428525538,0.9348859620944426,0.001886772959331933
tcn,deep+PHC,0.16693391257441986,-5.312206126584012,0.004000349416950698,0.0025165954751922375,0.7382267908769675,0.9519434628975265,0.003282135998978747
gru,deep+PHC,0.11902408856738528,-4.955601318510321,0.0047901815579347515,0.0029314354768592878,0.8093800192740122,0.9376164471570833,0.0037251063469186186
bayesian_ridge,ml+PHC,0.07438395660989267,-4.623333646503249,0.00354888840923969,0.0021391602173390293,0.6742370703501446,0.91866366848699,0.0023006677526500024
lstm,deep+PHC,0.0001897010061201795,-4.07108723716831,0.01034902419097764,0.007481225663519857,0.8283970446514616,0.9332476710568584,0.010253405673174643
autoencoder_mlp,deep+PHC,0.0,-3.845971730372006,0.010640617896135662,0.008025413222045516,0.838323160938002,0.9498554449084484,0.012155716090183446
