model,ariel_gll_score,gaussian_nll,rmse_mean,mae_mean,coverage_1sigma,coverage_2sigma,sigma_mean
cnn1d,0.2267068736329572,-5.760676137811294,0.0031182198407076994,0.0016996450773847948,0.7591230324445872,0.9428846771602956,0.0022995630005795413
transformer,0.22579093110897758,-5.753862770942212,0.0020653128792833203,0.0015230209475890744,0.7156119498875683,0.946353999357533,0.00197875947142082
tcn,0.16698197885778437,-5.316404135292473,0.0037318012070887115,0.002496736300078567,0.7129457115322839,0.9573562479922904,0.003279716337614655
gru,0.1286261016818758,-5.031088565872826,0.004475523512958959,0.002847937504797588,0.8394153549630582,0.9411500160616768,0.003978885265963989
lstm,0.00018210161232544526,-4.075639865004661,0.010303215735245147,0.007519854873043627,0.8190330870542885,0.9375200770960488,0.010300232061153014
autoencoder_mlp,0.0,-3.869218576784434,0.010594736439628567,0.008047294732168359,0.8679569547060713,0.9590587857372309,0.012857539025267956
