model,ariel_gll_score,rmse_mean,gaussian_nll,coverage_1sigma
cnn1d,0.23110118219326747,0.00284042116501194,-5.793363818067972,0.7853678123996145
transformer,0.22579093110897758,0.0020653128792833203,-5.753862770942212,0.7156119498875683
tcn,0.17788746592676732,0.0031498978924268677,-5.397526129677203,0.730292322518471
gru,0.1286261016818758,0.004475523512958959,-5.031088565872826,0.8394153549630582
autoencoder_mlp,0.004397787228807796,0.010254524530517058,-4.106998833452822,0.7851268872470286
lstm,0.00018210161232544526,0.010303215735245147,-4.075639865004661,0.8190330870542885
