model,calibration,ariel_gll_score,gaussian_nll,coverage_1sigma
bayesian_ridge,scalar,0.0,-2.3992466951533644,1.0
bayesian_ridge,per_wavelength,0.0,-2.4306787751711574,0.9949116607773852
bayesian_ridge,feature_conditioned,0.0,-3.1388537742111815,0.9712014134275618
random_forest,scalar,0.10782862805849255,-4.982900574432046,0.7981625441696114
random_forest,per_wavelength,0.1080244065398935,-4.984357063335873,0.8010600706713781
random_forest,feature_conditioned,0.05495298644367171,-3.271252051264139,0.44632508833922263
