model,GLL_mean,GLL_std,rmse_mean,rmse_std
extra_trees,0.236,0.02469027256969623,0.0025264564394348976,0.00020931252141019675
bayesian_ridge,0.134,0.026384211322035146,0.0035174461698887043,0.00035906259639750126
ridge,0.067,0.0,0.0064262879067365055,0.000537228012420992
