calibration,ariel_gll_score,gaussian_nll
none,0.12675861372451017,-4.9858545687720826
scalar,0.0930539455389305,-4.734196459809599
per_wavelength,0.09306013067254189,-4.734242709255843
feature_conditioned,0.06281650595103573,-4.453933404587654
