n_planets,ariel_gll_score,rmse_mean
50,0.008593443817165545,0.003653124308725681
100,0.0,0.0060280097525272774
200,0.0,0.005513292714950856
400,0.0,0.005077867233402512
800,0.10529692435949699,0.003710740479079206
1100,0.09306013067254189,0.0035174461698887043
